"","Country Name","Country Code","Series Name","Series Code","Year","Value"
"56","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","1979 [YR1979]",6.40355692592513
"57","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","1980 [YR1980]",5.84602651617143
"58","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","1981 [YR1981]",5.69952476661454
"59","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","1982 [YR1982]",4.14149570229377
"60","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","1983 [YR1983]",4.81399096956454
"61","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","1984 [YR1984]",5.09914655789932
"62","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","1985 [YR1985]",4.99940636872589
"63","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","1986 [YR1986]",4.35554691657009
"64","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","1987 [YR1987]",1.72561069291237
"65","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","1988 [YR1988]",2.472685037698
"66","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","1989 [YR1989]",2.29930141198645
"67","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","1990 [YR1990]",6.39999531084838
"68","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","1991 [YR1991]",4.59998724404535
"69","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","1992 [YR1992]",4.39999125181939
"70","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","1993 [YR1993]",6.90006325149474
"71","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","1994 [YR1994]",5.59991872510166
"72","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","1995 [YR1995]",5.5000852341585
"73","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","1996 [YR1996]",3.79996720568178
"74","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","1997 [YR1997]",6.40539969571286
"75","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","1998 [YR1998]",4.69842304772052
"76","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","1999 [YR1999]",4.30054049813373
"77","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","2000 [YR2000]",6.00003315828934
"78","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","2001 [YR2001]",-1.54540813366026
"79","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","2002 [YR2002]",3.96467568513113
"80","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","2003 [YR2003]",5.9402690780223
"81","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","2004 [YR2004]",5.44506127885352
"82","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","2005 [YR2005]",6.24174804376447
"83","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","2006 [YR2006]",7.66829190107919
"84","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","2007 [YR2007]",6.79682611892866
"85","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","2008 [YR2008]",5.95008814473897
"86","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","2009 [YR2009]",3.53891205317842
"87","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","2010 [YR2010]",8.01596737040464
"88","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","2011 [YR2011]",8.66948301160571
"89","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","2012 [YR2012]",8.63218138024038
"90","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","2013 [YR2013]",4.05174632926911
"91","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","2014 [YR2014]",6.37797889289399
"92","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","2015 [YR2015]",4.2059554759927
"93","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","2016 [YR2016]",5.05362489256818
"94","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","2017 [YR2017]",6.4606812707036
"95","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","2018 [YR2018]",2.31008425192161
"96","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","2019 [YR2019]",-0.220483886072614
"97","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","2020 [YR2020]",-4.62451503662909
"98","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","2021 [YR2021]",4.2074764951157
"99","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","2022 [YR2022]",-7.34679123599076
"100","Sri Lanka","LKA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","2023 [YR2023]",-2.29801056186895
"101","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","1974 [YR1974]",65.999
"102","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","1975 [YR1975]",66.237
"103","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","1976 [YR1976]",66.513
"104","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","1977 [YR1977]",66.551
"105","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","1978 [YR1978]",67.566
"106","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","1979 [YR1979]",68.13
"107","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","1980 [YR1980]",68.661
"108","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","1981 [YR1981]",69.212
"109","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","1982 [YR1982]",69.674
"110","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","1983 [YR1983]",70.068
"111","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","1984 [YR1984]",70.649
"112","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","1985 [YR1985]",70.969
"113","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","1986 [YR1986]",71.421
"114","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","1987 [YR1987]",71.457
